0
,psnr[26.1878251563133, 24.191643628300668, 22.567680125325758, 21.712380724832876, 21.01442078245202, 20.4721052217941, 20.132838581590686, 19.90519822550785, 19.779686986191308, 19.387090313793177]
,mse[40.98318862915039, 64.602294921875, 93.23529052734375, 113.27859497070312, 133.67752075195312, 150.89830017089844, 162.7445526123047, 172.34219360351562, 179.58251953125, 193.9176025390625]
,mae,HSS20[0.48721144195468297, 0.3733758311121521, 0.2938986390364428, 0.24455490987147013, 0.1804696111181791, 0.09574601517268187, 0.059856701595688525, 0.029315256839327317, 0.0015963846634380312, -0.0017528878148429553]
,HSS35[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.33783277090363706, 0.24557646793643645, 0.1907552698742792, 0.15776544445455373, 0.11671177266576452, 0.0649276775556639, 0.043860362926194156, 0.025302892936619137, 0.008864220031480408, 0.005538851084032285]
,CSI35[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[418.25067138671875, 568.8543701171875, 703.7319946289062, 801.6036376953125, 906.7056884765625, 997.2572631835938, 1057.5943603515625, 1102.27880859375, 1137.954833984375, 1198.9473876953125]
,lpips[32.23698139190674, 41.324394941329956, 46.408092975616455, 49.1489976644516, 51.008450984954834, 53.67807149887085, 54.869723320007324, 55.725932121276855, 56.68438673019409, 56.8436861038208]
,ssim[0.7718358801314754, 0.6743562164478967, 0.6107975911881051, 0.5628762472477301, 0.5179182745722621, 0.48409009309762374, 0.46172141462188687, 0.44853272096319935, 0.4300335763224604, 0.4121475631411544]
1
,psnr[23.276650759935016, 21.431208333943758, 20.11537391620272, 19.24818902487831, 18.786105591526827, 18.40706901700687, 18.06116751420719, 17.771470714355676, 17.632586801091232, 17.56571135013492]
,mse[78.57347869873047, 120.65650939941406, 162.76837158203125, 200.15158081054688, 221.6560821533203, 243.45843505859375, 265.7029724121094, 285.2948303222656, 297.2735595703125, 302.2497253417969]
,mae,HSS20[0.5559613293126965, 0.476675288273673, 0.3897784719091902, 0.3461467204998627, 0.2898856792252659, 0.23742280417403583, 0.2180911182711753, 0.17832174822509003, 0.16944371638620812, 0.13753662458331953]
,HSS35[0.25871852497970105, 0.1685867416784512, 0.06623780068564888, 0.012323585979491916, -0.0008574658667414546, -0.0016372969486004982, -0.0015582230403955405, 0.004527031050823569, -0.0012195905772492974, -0.0009936214830114426]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.4648652079864453e-05, 0.0, 0.0]
,CSI20[0.436396619618601, 0.3678688246038826, 0.30116737718634207, 0.26964153947726127, 0.22884871550903904, 0.19018956419777217, 0.1748176918199112, 0.14600992148744193, 0.13667389384084158, 0.11215145168576238]
,CSI35[0.15040106951871657, 0.09360730593607304, 0.035871617369414736, 0.007477567298105683, 0.0004938271604938272, 0.0, 0.0, 0.002964845404489623, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[676.4031372070312, 894.4406127929688, 1061.376953125, 1197.89501953125, 1286.2469482421875, 1367.6707763671875, 1442.162353515625, 1504.4854736328125, 1548.127197265625, 1575.6689453125]
,lpips[35.79468131065369, 43.7739372253418, 48.98936152458191, 53.27709913253784, 56.118667125701904, 57.56045579910278, 60.19101142883301, 61.63012981414795, 62.096649408340454, 62.12512254714966]
,ssim[0.6694472976973093, 0.5596210097196935, 0.50231671891165, 0.4636672091561344, 0.43761837361092815, 0.4215145064495227, 0.4076692794470973, 0.39648251335531387, 0.37830919057698575, 0.37215698552228554]
2
,psnr[23.438470512124848, 21.15427244311857, 19.907310836531867, 18.900740664341928, 18.095828860879163, 17.57966783521376, 17.11882344740034, 16.75855669323772, 16.379483720088153, 16.13300254862953]
,mse[74.35986328125, 125.84239959716797, 168.2025604248047, 212.9188232421875, 258.4298095703125, 292.9578552246094, 328.3658142089844, 357.55224609375, 391.9171447753906, 416.2530212402344]
,mae,HSS20[0.6559114894457357, 0.5467686957053567, 0.510903433642479, 0.4742070457351484, 0.42992388840837414, 0.3796837325677973, 0.34136221441491227, 0.32614859359007214, 0.2991877002080005, 0.2768521683678917]
,HSS35[0.5346402201304051, 0.37597970218688037, 0.2741415968063983, 0.23258825251519452, 0.17112616458704102, 0.12211435850737082, 0.10494569736030392, 0.08942127916152579, 0.05797394784033555, 0.05097238577936837]
HSS45[0.33498611052778793, 0.07244913724274211, 0.02502839631141516, 0.005264357423341765, -0.0007211989948226768, -0.00035383386900573376, -0.0001654478806487466, 0.0, 0.0, 0.0]
,CSI20[0.6070173209672638, 0.5164223961281006, 0.48935321493019274, 0.46556534106449327, 0.43062131781544805, 0.3915272531030761, 0.36383407312334, 0.35116787275202416, 0.329402855906534, 0.3133602363623261]
