0
,psnr[26.245506462194164, 24.32529423694619, 22.75179274512098, 21.991015629239627, 21.35286759210568, 20.87447388023232, 20.550899432902252, 20.385037594998508, 20.302309255211867, 19.934188258016185]
,mse[40.650306701660156, 62.96889877319336, 90.00029754638672, 107.3885498046875, 126.3861083984375, 142.69566345214844, 155.79623413085938, 164.3855743408203, 171.4698944091797, 186.55503845214844]
,mae,HSS20[0.4457788550398679, 0.2560573359987978, 0.09664870129933281, 0.03769054171095577, 0.007768480745943557, 0.0, 0.0, 0.0, 0.0, 0.0]
,HSS35[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.3010862619808306, 0.15701292484442317, 0.05603129294851465, 0.021285519555415747, 0.004467754467754468, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI35[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[440.35833740234375, 595.8342895507812, 730.916015625, 811.8980712890625, 889.6141967773438, 953.4420166015625, 1005.5731811523438, 1047.103759765625, 1075.6280517578125, 1137.84130859375]
,lpips[34.2351496219635, 45.61492204666138, 49.363768100738525, 49.85966086387634, 50.56227445602417, 52.15747356414795, 53.636157512664795, 55.30317425727844, 56.20560646057129, 57.17340707778931]
,ssim[0.7543509585697235, 0.6531169444441015, 0.5873629123903079, 0.5470657590719639, 0.5135059154865496, 0.492495621891187, 0.4711669843566511, 0.45339972723361033, 0.4371166631253729, 0.41656994877090325]
1
,psnr[23.493103098966337, 21.97601065218809, 20.78918840472831, 19.850239502513777, 19.089256187148848, 18.502359724991237, 17.972356716662617, 17.4530796394494, 17.31445764686554, 17.138739477878307]
,mse[74.6294937133789, 105.3102035522461, 137.95689392089844, 172.9562530517578, 206.05181884765625, 237.42752075195312, 272.1471252441406, 307.0147399902344, 319.4602355957031, 333.32373046875]
,mae,HSS20[0.5382512496158535, 0.4368539659426033, 0.320281680620706, 0.2294498778251968, 0.16758862622806153, 0.09615281245415341, 0.031262572149615926, 0.0044421189711098255, -1.5258281587424e-05, 0.0]
,HSS35[0.1850920606959439, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.41830299235138885, 0.32558458792843087, 0.2298237476808906, 0.1599866875861741, 0.1131605423274086, 0.06396513724704468, 0.022787466893208735, 0.003889555822328931, 0.0, 0.0]
,CSI35[0.10311418685121108, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[682.7098388671875, 857.4242553710938, 1019.0654296875, 1161.16015625, 1274.9285888671875, 1363.9122314453125, 1450.614501953125, 1539.47119140625, 1576.268798828125, 1609.66552734375]
,lpips[39.101290702819824, 50.79527497291565, 54.514169692993164, 56.05146288871765, 56.33940100669861, 56.37897253036499, 57.8300416469574, 58.07567834854126, 59.05986428260803, 59.8937451839447]
,ssim[0.6662152004276144, 0.5680479290867945, 0.49975862151261485, 0.452771839947323, 0.41737679822990287, 0.4007542942803286, 0.3850902541315918, 0.36824972904327075, 0.35130848609120013, 0.3459229773570043]
2
,psnr[23.686315196840734, 21.59720685150647, 20.436670420018846, 19.382071924845814, 18.649491363801765, 18.253807679621964, 17.889185452642806, 17.61188397197493, 17.278164055952267, 17.031018753109297]
,mse[70.19987487792969, 113.59388732910156, 149.11920166015625, 190.53671264648438, 226.98583984375, 249.76449584960938, 271.6602478027344, 288.8443908691406, 311.05059814453125, 330.57073974609375]
,mae,HSS20[0.6690698986126131, 0.5663323959493997, 0.5292495494391055, 0.47909968331922187, 0.4395681220051465, 0.4040084328456918, 0.3694426905718793, 0.3598699201469672, 0.331635339617238, 0.3153747659629391]
,HSS35[0.5030507744947749, 0.33784928193948416, 0.24577389808688105, 0.17245889830747474, 0.06942688789624986, 0.015714328496093697, -0.0011208334062224334, 0.0, 0.00015238171867394703, 0.00041498507597029054]
HSS45[0.22777399700585743, 0.06486137325086404, 0.006370611850762937, -3.0415750426437034e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.6217948717948718, 0.5371311333959695, 0.5090233249697983, 0.4749827314429429, 0.44645607961921246, 0.4208469833469834, 0.3943424216072433, 0.3837939045109393, 0.3602941176470588, 0.3435219630848476]
,CSI35[0.357330224424366, 0.22336340091095824, 0.15742031409720283, 0.10733760642877643, 0.04285859716990736, 0.010780232682249972, 9.840582562487701e-05, 0.0, 9.90785693054592e-05, 0.0003142019271051529]
,CSI45[0.12896405919661733, 0.033707865168539325, 0.0032258064516129037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[710.6329956054688, 936.5172119140625, 1107.786376953125, 1275.5714111328125, 1409.743408203125, 1483.048583984375, 1553.7208251953125, 1605.9378662109375, 1678.5118408203125, 1734.2841796875]
,lpips[37.476685643196106, 46.73295617103577, 52.00684070587158, 55.08408546447754, 57.071709632873535, 58.32935571670532, 58.19152593612671, 59.074223041534424, 58.795034885406494, 60.288989543914795]
,ssim[0.6965002923912829, 0.5967704430223719, 0.534781089278493, 0.48889157211501355, 0.457007214262569, 0.4387527249573552, 0.4278051088139323, 0.4245429669226678, 0.41631007564443423, 0.40130782477729415]
3
,psnr[23.1020971867138, 20.96166516907407, 19.480852080452074, 18.422725666639728, 17.745804291442006, 17.168230366161765, 16.617351640862825, 16.088290070177518, 15.861726323487824, 15.749626984690805]
,mse[80.63273620605469, 132.86297607421875, 186.66629028320312, 238.1088104248047, 278.2814025878906, 316.9896545410156, 360.6059875488281, 408.26470947265625, 431.7622985839844, 446.07904052734375]
,mae,HSS20[0.6228097456639422, 0.5291261959603925, 0.4788668884786156, 0.4171358106505939, 0.3545519513172063, 0.30239781568687957, 0.24485325362846866, 0.18908680178371332, 0.14659422411120393, 0.10269086637817616]
,HSS35[0.4255388635891474, 0.23813502695619485, 0.14603830110919921, 0.09098205945549007, 0.05103202744878667, 0.017237688696352258, 0.005911546154868768, 0.0, 0.0, 0.0]
HSS45[0.1756550468078428, 0.07680707021427673, 0.025719813510368148, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.5769646120618043, 0.49802989802989817, 0.45853224840062623, 0.4152915495042179, 0.37202061412926785, 0.33140523987750936, 0.2806827765758498, 0.23141091267584274, 0.18880019110943008, 0.145063522378145]
,CSI35[0.28564488705367985, 0.14585939454590943, 0.08607733296898482, 0.052804827869976693, 0.029690889370932755, 0.010851648351648353, 0.0037693703755409744, 0.0, 0.0, 0.0]
,CSI45[0.09662921348314607, 0.04011461318051576, 0.013100436681222708, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[774.6875, 1044.575439453125, 1270.105712890625, 1457.713134765625, 1607.528076171875, 1738.6842041015625, 1863.869873046875, 1983.1695556640625, 2055.038818359375, 2094.2041015625]
,lpips[37.64633536338806, 50.187838077545166, 54.81369495391846, 57.47705698013306, 59.89420413970947, 60.63985824584961, 61.80233955383301, 62.71862983703613, 63.47353458404541, 62.53930926322937]
