0
,psnr[26.075023095205193, 24.190368899234734, 22.72506278219489, 21.949666036816286, 21.170635044270853, 20.566708198085685, 20.266255358550936, 20.01289889578829, 19.87244074552998, 19.49839970523426]
,mse[42.146400451660156, 64.6168212890625, 90.39875793457031, 109.0094223022461, 132.4790802001953, 152.14768981933594, 164.6593475341797, 177.48538208007812, 188.6029510498047, 203.43560791015625]
,mae,HSS20[0.512966046793259, 0.39899018017353394, 0.33478172186049393, 0.3063856488199084, 0.2708059639382339, 0.22204317418822364, 0.20833213638191636, 0.17463982260595048, 0.12695071965665916, 0.10717718435289468]
,HSS35[-0.00020123500445363223, -4.5121325988730175e-05, 0.0, -0.00011590296912499441, -0.00040872106180465424, -0.0005714906328625505, -0.0005421668801572879, -0.0002467877496009747, -0.0008621059678440212, -0.0004950837327395693]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.3621379226760393, 0.2671397379912664, 0.2212265471856623, 0.20246213798600654, 0.18053562888570063, 0.15030652189969718, 0.14290846385974995, 0.12372554422705981, 0.09574896070805952, 0.08496149684974225]
,CSI35[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[428.6980285644531, 571.873291015625, 694.976318359375, 781.6026000976562, 886.9190063476562, 972.0037841796875, 1029.38623046875, 1072.4036865234375, 1111.8660888671875, 1166.9964599609375]
,lpips[30.532199144363403, 39.03011083602905, 43.34956109523773, 44.947549700737, 47.59843945503235, 50.067996978759766, 50.313013792037964, 51.64685845375061, 52.93546915054321, 53.56397032737732]
,ssim[0.7643744326347554, 0.6721064025947829, 0.6139788498322513, 0.575580123109797, 0.5357959823692857, 0.5078870804577656, 0.48553641675698844, 0.480894304228354, 0.4745526534260571, 0.46293505482158137]
1
,psnr[23.262907363494563, 21.413949281060294, 19.9727366566667, 19.07292468132719, 18.583178880496973, 18.19716872401041, 17.839820320721188, 17.51202217519522, 17.229189983962723, 16.95198482251012]
,mse[78.67122650146484, 121.1217041015625, 168.69650268554688, 209.5784454345703, 234.31521606445312, 255.3719940185547, 276.00482177734375, 295.9765625, 315.2897033691406, 335.1688232421875]
,mae,HSS20[0.561991737465856, 0.4846788425267428, 0.3958943991104271, 0.3308363708668794, 0.31060826565114, 0.2749056754256429, 0.2600523614662174, 0.2380704259341622, 0.21099049848802795, 0.18010647049624462]
,HSS35[0.2882080908557292, 0.2798334600892278, 0.2244693225725301, 0.127923924888844, 0.04481520148247741, 0.047633818042329294, 0.11843084845445563, 0.08823969771969972, 0.016799296662858985, 0.03889705958083156]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.44247240618101547, 0.3755908170155301, 0.3082378614293508, 0.25997028910981607, 0.24748498360172458, 0.22074557945714604, 0.21185660071478574, 0.19796049347500538, 0.1791429491998711, 0.15814570486160906]
,CSI35[0.17049180327868851, 0.165283540802213, 0.12945914844649023, 0.07116279069767441, 0.025446428571428568, 0.027149321266968333, 0.0663005100039231, 0.049999999999999996, 0.012413289521723256, 0.024662939822426837]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[695.2750854492188, 902.8726806640625, 1103.2308349609375, 1251.8408203125, 1340.971435546875, 1410.519287109375, 1480.147216796875, 1531.8212890625, 1580.6341552734375, 1639.3779296875]
,lpips[33.558666706085205, 40.84973931312561, 46.03648781776428, 49.16854500770569, 51.6750693321228, 53.274375200271606, 55.49524426460266, 56.35204315185547, 55.86541295051575, 56.99644684791565]
,ssim[0.662998534323142, 0.5593796114388203, 0.48751788840120697, 0.44277748753788804, 0.4162778244189361, 0.4032933741781466, 0.3865146314949673, 0.38162439107724855, 0.37014657689954755, 0.3564886050475503]
2
,psnr[23.2206552018952, 21.004642826649896, 19.70026230584141, 18.766337842585237, 18.010568013682363, 17.603680029136527, 17.21500901689193, 16.81284391776168, 16.428271054493752, 16.089316879981073]
,mse[78.13833618164062, 130.30029296875, 176.37416076660156, 219.3128662109375, 262.47723388671875, 288.7481689453125, 317.46136474609375, 349.4865417480469, 382.70953369140625, 416.6788024902344]
,mae,HSS20[0.6472597866507627, 0.5499256976335917, 0.5102911455841098, 0.4687576696168688, 0.4327461273583416, 0.39510539522008076, 0.36999633021084477, 0.35516115955021366, 0.32808052558915574, 0.3124052512995233]
,HSS35[0.5400814435217508, 0.4187465058358565, 0.3558552045566726, 0.2947329169648643, 0.26160298294644263, 0.2330070308186543, 0.19452355357057727, 0.1524677418678653, 0.1353599964774335, 0.11593516646954824]
HSS45[0.30249029865218086, 0.06950606712413387, 0.013555225570248438, 0.01466289813192084, 0.020012110480869257, 0.0024195216489538798, 0.004899012284400563, -0.0005462342065126074, -0.0006343002019467994, -0.0005506802595291973]
,CSI20[0.5985491000613354, 0.519175193314067, 0.4878826652407234, 0.4623905017012958, 0.4360423777019341, 0.4091553114450139, 0.3948458352508054, 0.38766814270198013, 0.37212340960687273, 0.36379833389512206]
,CSI35[0.3943969437875205, 0.29085345683096264, 0.24404476418864912, 0.19913593087446999, 0.17609910128734516, 0.15688994044219629, 0.1340336760542393, 0.10932879952690719, 0.0998719590268886, 0.08791289634370633]
,CSI45[0.17898832684824903, 0.036603221083455345, 0.007309941520467836, 0.007776049766718507, 0.010401188707280832, 0.0014164305949008501, 0.0026041666666666665, 0.0, 0.0, 0.0]
