0
,psnr[26.48576479843929, 24.60235032362036, 23.132970767704215, 22.359605555920375, 21.6092287377491, 20.93520416052555, 20.416776276729788, 20.013008417778686, 19.766883684847226, 19.258991927678064]
,mse[38.39979553222656, 59.038673400878906, 82.38306427001953, 98.70850372314453, 118.2656021118164, 138.53265380859375, 157.88162231445312, 176.00115966796875, 191.79843139648438, 216.06329345703125]
,mae,HSS20[0.5099461770931387, 0.3423727548249916, 0.26032047020603205, 0.23006705748887685, 0.21093778677645728, 0.17265203138463556, 0.10574506777179861, 0.07608723342596733, 0.06788607209931942, 0.0367421464946708]
,HSS35[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.3582425835523845, 0.22111416781292983, 0.16370214048839313, 0.14282880380876814, 0.1314878892733564, 0.10945650344943633, 0.0695487171025493, 0.05232986651379902, 0.046795607277495495, 0.028635728697811582]
,CSI35[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[405.75994873046875, 551.287353515625, 665.7149658203125, 737.9484252929688, 818.6884765625, 890.451171875, 941.34228515625, 991.9773559570312, 1024.34423828125, 1090.5655517578125]
,lpips[33.62548351287842, 43.47197413444519, 47.71545231342316, 49.48969483375549, 50.84386467933655, 53.60822677612305, 56.16592764854431, 57.96321630477905, 60.273051261901855, 61.7165207862854]
,ssim[0.7776317567373299, 0.6836241344030989, 0.6286383080429212, 0.5963116203903942, 0.5594058079260524, 0.539065848965433, 0.5309379767316811, 0.5222706664640504, 0.5138861159876665, 0.4956223726018189]
1
,psnr[23.677973150493777, 22.091326883555723, 20.815783259078312, 19.848081504765663, 19.1927802862584, 18.679002900100016, 18.204317522049024, 17.809693065163568, 17.555467542502978, 17.35148058662393]
,mse[71.55194091796875, 102.77433776855469, 136.97698974609375, 172.1749725341797, 199.6033477783203, 225.57000732421875, 253.0410919189453, 278.9429931640625, 297.4234619140625, 315.20086669921875]
,mae,HSS20[0.5677826282568644, 0.48541872700137517, 0.3938241565863674, 0.35499295375797774, 0.320151878729063, 0.25984471761857675, 0.20279852720674157, 0.1650633084006368, 0.1415338877992536, 0.10257384096322418]
,HSS35[0.23394524254752327, 0.05367550960778573, 0.014611692583751069, -0.0005390486861743842, -7.609917353409224e-05, 0.0, 0.0, 0.0, 0.0, 0.0]
HSS45[-1.4496059742076949e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.44768370607028757, 0.37254901960784315, 0.29913094588353834, 0.2687091913611251, 0.24362317659522453, 0.19985977646719186, 0.15620493680549666, 0.12778404579833688, 0.10866391894212604, 0.08199697428139184]
,CSI35[0.13409703504043127, 0.028006589785831957, 0.007692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[653.2235107421875, 833.1226196289062, 995.38525390625, 1131.5556640625, 1242.1439208984375, 1331.5557861328125, 1384.025634765625, 1442.494873046875, 1478.67626953125, 1521.8272705078125]
,lpips[37.163275480270386, 46.941161155700684, 52.67106294631958, 56.786149740219116, 58.53859186172485, 59.937530755996704, 63.213419914245605, 63.96671533584595, 64.90969061851501, 66.1158561706543]
,ssim[0.6863037411226285, 0.5890745412789896, 0.520827555374159, 0.47803101312236135, 0.4387518376577624, 0.41579265571399115, 0.4195706705827444, 0.41451048616152736, 0.40470107087032225, 0.3975588481826825]
2
,psnr[23.714170550134526, 21.52346220659938, 20.361017242932455, 19.35658254958311, 18.621809566633928, 18.194197665832196, 17.941461498111085, 17.632046661990877, 17.411484102467025, 17.212300581562715]
,mse[69.77318572998047, 115.59814453125, 151.6510467529297, 191.64639282226562, 229.47866821289062, 254.96229553222656, 269.6877136230469, 288.892822265625, 303.2460632324219, 318.1526184082031]
,mae,HSS20[0.6690565161775793, 0.5730040681121585, 0.5399466996735334, 0.4948451031381711, 0.45687149089525386, 0.43607811371679356, 0.41104264420881226, 0.40783808031404967, 0.39773326118071, 0.3803828591890226]
,HSS35[0.5248590758356758, 0.39133296448487837, 0.27149128287249674, 0.2431419756620903, 0.16573240172506928, 0.14245480503953453, 0.10299681462078605, 0.06572466153274449, 0.03513400084823464, 0.02723963884129418]
HSS45[0.4461162628700968, 0.1759104324208663, 0.06512005046513197, 0.03825724020088947, 0.019668065155119607, 0.0, 0.0, 0.0, 0.0, 0.0]
