0
,psnr[26.096440165145125, 24.229910503853706, 22.71619929088505, 21.842631574706797, 20.992616003216387, 20.38663671743221, 19.918352673290382, 19.590153171472515, 19.418128849323885, 18.941544830492983]
,mse[41.962223052978516, 64.456787109375, 90.67276000976562, 111.23245239257812, 137.302490234375, 158.26869201660156, 178.36386108398438, 196.95596313476562, 213.54388427734375, 236.36566162109375]
,mae,HSS20[0.5309600082252682, 0.4472320929973582, 0.3744463199723404, 0.3423301007109845, 0.31606672332704727, 0.3052174638207174, 0.2940396864123544, 0.27383348529023227, 0.23845525772219128, 0.22218897258595954]
,HSS35[0.0, 0.009585450187498038, 0.0, -0.00011590296912499441, -0.0005845592347453237, -0.0005490885324510264, -0.0004070666775217781, 0.08277020984199711, 0.05554107568843541, 0.01060268273154353]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.37860884395176025, 0.3063609304376585, 0.2523587066043785, 0.23103038533355963, 0.21560466172241563, 0.2114905973451327, 0.20714562104991613, 0.19631864815932404, 0.17504995717956034, 0.16813833701250916]
,CSI35[0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.043650793650793655, 0.029339853300733496, 0.006160164271047228]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[416.2129821777344, 548.375732421875, 684.1163330078125, 782.8062744140625, 888.6646118164062, 976.3853149414062, 1054.660888671875, 1118.2867431640625, 1164.947509765625, 1240.66357421875]
,lpips[32.31499791145325, 40.2735710144043, 44.43383514881134, 45.85161209106445, 48.167866468429565, 50.190842151641846, 51.326775550842285, 52.198028564453125, 53.450071811676025, 54.00961637496948]
,ssim[0.7698479570533219, 0.6862618225812772, 0.6197206333284124, 0.5764261217130813, 0.5352668351754034, 0.5066144337711668, 0.47905543100988, 0.46565287907486763, 0.4555104638522177, 0.4409001272646688]
1
,psnr[23.32371581604017, 21.491650889924962, 20.105474332909623, 19.102496837715464, 18.49980118978015, 18.01159740992071, 17.69210821076812, 17.351122068245775, 17.155769892171207, 16.89211814856594]
,mse[77.68668365478516, 119.24382019042969, 163.58673095703125, 208.50108337402344, 237.84249877929688, 265.6959533691406, 285.6246032714844, 309.6262512207031, 323.0997009277344, 342.88922119140625]
,mae,HSS20[0.5693901764426207, 0.4875887896416043, 0.41788647005023044, 0.38246411489811466, 0.34810663239475387, 0.30811496092993945, 0.29767146102123626, 0.27682326268412133, 0.2610214233124471, 0.23501001271531272]
,HSS35[0.2996064117734078, 0.257097216717225, 0.2408199174163486, 0.15120020992773228, 0.03500533728567428, 0.02931295574789111, 0.09958194162251541, 0.07815000048385491, 0.016299980854286942, 0.03953483807184006]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.4496442617879711, 0.3771233461374307, 0.3237292199488491, 0.2990403071017274, 0.27713030534073996, 0.2490392558273174, 0.24327366088699748, 0.23218229271230675, 0.2215556888622276, 0.2048371174728529]
,CSI35[0.178548490687219, 0.1501028101439342, 0.14023372287145242, 0.08534975802903653, 0.02085106382978724, 0.01775625504439064, 0.055489496630994846, 0.04394785847299814, 0.011520737327188942, 0.023792357606344627]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[674.3585815429688, 887.9027709960938, 1072.030517578125, 1234.2685546875, 1347.683349609375, 1447.6834716796875, 1516.5155029296875, 1587.83056640625, 1624.875, 1675.512939453125]
,lpips[35.27626395225525, 42.809897661209106, 47.37973213195801, 50.64339637756348, 53.09255123138428, 54.16545867919922, 56.782835721969604, 56.89466595649719, 56.72711133956909, 57.499873638153076]
