0
,psnr[25.986687545167666, 24.136271672728718, 22.67662041341755, 21.937118589338986, 21.248566043635762, 20.73118506172907, 20.359881327549015, 20.142084386435428, 19.99761062558463, 19.65287527002525]
,mse[43.28950881958008, 66.21546173095703, 92.6202163696289, 109.66377258300781, 128.99391174316406, 145.77806091308594, 160.3133087158203, 169.96148681640625, 177.5362548828125, 190.10369873046875]
,mae,HSS20[0.5054721859913159, 0.39561613313352245, 0.23516695978738228, 0.163290786592894, 0.1430740168427567, 0.12008215091123044, 0.09662780383697635, 0.07700132608481103, 0.056360099894920586, 0.033471515537132235]
,HSS35[0.017641279048097994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.3544743701129453, 0.26274554331781536, 0.1467080869826636, 0.09969340322421126, 0.08751147842056933, 0.0734622144112478, 0.0595133905128654, 0.046858453935757154, 0.0336082291389554, 0.02024493876530867]
,CSI35[0.008928571428571426, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[429.4693298339844, 564.6832885742188, 688.8612060546875, 779.1804809570312, 871.006591796875, 951.455810546875, 1019.8997802734375, 1074.81396484375, 1116.0919189453125, 1180.773193359375]
,lpips[36.97277307510376, 48.129212856292725, 51.58456563949585, 52.368730306625366, 52.19353437423706, 53.755199909210205, 54.584670066833496, 55.86099624633789, 56.22880458831787, 56.800031661987305]
,ssim[0.755857381954271, 0.6774274449289016, 0.6185328481596084, 0.574243055653767, 0.5349864908369494, 0.5069198118003564, 0.4838784446807887, 0.4606483611842614, 0.44236915902169965, 0.42282347872368314]
1
,psnr[23.278647986613713, 21.760913675956264, 20.617860336520014, 19.67924574732523, 19.0013030092542, 18.454578683396853, 17.947663290458106, 17.559335086618916, 17.329993091017446, 17.18868369479733]
,mse[78.194091796875, 110.5311508178711, 143.91668701171875, 179.91151428222656, 210.15814208984375, 240.05506896972656, 274.1148681640625, 301.7903747558594, 320.52630615234375, 333.28125]
,mae,HSS20[0.564421940251486, 0.45827415753375833, 0.37076444476842585, 0.3136298618274207, 0.27967402042636674, 0.23262192381669705, 0.20436694394278684, 0.16892277850025786, 0.12486438548200031, 0.08691083523870671]
,HSS35[0.2472558231534167, -4.566324324625335e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.4453035761356646, 0.3489976852862821, 0.2759587990357221, 0.23084401237295626, 0.20501616708905004, 0.17128845296477932, 0.15082478823004905, 0.12604354935880882, 0.09534822831209634, 0.06892446090752745]
,CSI35[0.14256198347107438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[691.0082397460938, 857.0562744140625, 1008.6287841796875, 1151.2357177734375, 1257.05126953125, 1358.6004638671875, 1454.7657470703125, 1536.051025390625, 1601.64404296875, 1650.6185302734375]
,lpips[40.85227847099304, 53.00302505493164, 57.26582407951355, 59.59498882293701, 61.10774874687195, 60.955989360809326, 61.90454959869385, 61.98467016220093, 62.20978498458862, 62.53882646560669]
,ssim[0.654374551495927, 0.571380393440022, 0.5141948480751789, 0.47094188462060294, 0.4352940130802735, 0.41103257341805177, 0.3898334838300714, 0.3739834487332374, 0.36094173776781213, 0.3523924063431913]
2
,psnr[23.316451531015414, 21.346363312745986, 20.232047795233488, 19.17567915646214, 18.43601424159177, 18.004451199995252, 17.63703997171321, 17.286389509794205, 16.96847425491211, 16.611452210744204]
,mse[76.40997314453125, 120.32698059082031, 156.45101928710938, 199.90684509277344, 239.6948699951172, 265.5514221191406, 290.0000915527344, 314.9242858886719, 338.61163330078125, 367.4468688964844]
,mae,HSS20[0.6517393411259761, 0.560389979295083, 0.536626797114322, 0.4876289923450768, 0.45981190696962126, 0.4262416588632457, 0.39391577177975895, 0.39324009768725154, 0.37040762035398467, 0.34738968486799277]
,HSS35[0.4392475796560436, 0.2738247000890794, 0.18413674454476925, 0.09777439315233692, 0.06196240807998453, 0.04766483510896406, 0.02425471031684415, 0.035330531717434326, 0.04256259076191038, 0.0425872337357368]
HSS45[0.09357437078722353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.043278071689859e-05]
,CSI20[0.6074887156339762, 0.5347032565498276, 0.5189207873958447, 0.4882719004308282, 0.469631922257721, 0.44653329857943447, 0.42517495925606363, 0.4258354939793532, 0.4107524852145464, 0.39386153195356194]
,CSI35[0.3011090391598783, 0.17536152297272564, 0.11447063369397216, 0.06013931129206318, 0.03725998962117281, 0.028777742380800685, 0.01665556295802798, 0.024176252680834474, 0.030650994575045214, 0.035619820137541884]
,CSI45[0.04925053533190577, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[742.2366943359375, 960.4818115234375, 1124.111328125, 1285.7779541015625, 1408.882080078125, 1482.2083740234375, 1557.754150390625, 1628.550537109375, 1697.6739501953125, 1784.313720703125]
,lpips[40.90469479560852, 49.66308772563934, 54.65965270996094, 57.97232389450073, 59.51873064041138, 60.96261739730835, 61.174046993255615, 62.12128400802612, 62.704646587371826, 64.50430750846863]
,ssim[0.6770554516668289, 0.5887361693236255, 0.5340973237050367, 0.4974676574911893, 0.47103187136481944, 0.4562213607610103, 0.4425296608519895, 0.4420568810678428, 0.43615502945326295, 0.4190293239073695]
3
,psnr[22.765282730228105, 20.583284986412444, 19.088176995240193, 17.96897238830459, 17.337807629316007, 16.838111189875125, 16.390297584900786, 15.897004303255088, 15.649141005503385, 15.453664903218707]
,mse[87.16345977783203, 144.5256805419922, 204.16751098632812, 264.553466796875, 306.62115478515625, 343.82635498046875, 383.2216796875, 432.13177490234375, 459.8695068359375, 481.2364196777344]
,mae,HSS20[0.5931882118109196, 0.49166940267956566, 0.4353604605253677, 0.37656681737646813, 0.3229978711906518, 0.2934698389759371, 0.24984104643417093, 0.20019698108785478, 0.16037713986178995, 0.13175280115828739]
,HSS35[0.3505902240030323, 0.22653387705373754, 0.11989112014700544, 0.044144250053076976, 0.008885474976549275, 0.001548876585619372, -7.624593922018193e-05, 0.0, 0.0, -3.0509702827436622e-05]
