0
,psnr[26.249671356041528, 24.183300792344834, 22.735543022231028, 21.899808934484103, 21.22196575958177, 20.737613862335085, 20.296832828094544, 19.916186248937834, 19.71504706910859, 19.316168360581596]
,mse[40.68948745727539, 65.42424774169922, 90.72689819335938, 109.25354766845703, 128.3650665283203, 142.56668090820312, 157.83294677734375, 174.62594604492188, 186.8184814453125, 203.83016967773438]
,mae,HSS20[0.5963360056055196, 0.5369217779825918, 0.4383203358780069, 0.3583858058774113, 0.2897845034631667, 0.23986269164506874, 0.20078556628226463, 0.17114668013314205, 0.14573095868956054, 0.13154988951234922]
,HSS35[0.0, -0.00015936371539975326, -0.00010400090203218684, -1.5157967239792779e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.4436931685707624, 0.38909276248725794, 0.30652529954314284, 0.24474893337709222, 0.1972717733473242, 0.1640893470790378, 0.14050327473285074, 0.12413429193324978, 0.1104126984126984, 0.10321142375128035]
,CSI35[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[431.78118896484375, 581.3685302734375, 712.4404296875, 818.722412109375, 920.639892578125, 996.0100708007812, 1059.60693359375, 1125.0875244140625, 1169.09130859375, 1222.5777587890625]
,lpips[34.392815828323364, 44.34751868247986, 48.582810163497925, 50.831615924835205, 51.924943923950195, 54.82054948806763, 55.431973934173584, 55.93982934951782, 56.191056966781616, 55.84792494773865]
,ssim[0.7645035006402691, 0.6752288731115275, 0.6123689425826537, 0.5632344382340406, 0.5191704994045476, 0.4917353493370073, 0.47030665279805517, 0.45377413784438486, 0.4438270355304052, 0.4316947499487495]
1
,psnr[23.558263460429064, 21.537529493051693, 20.19209153917948, 19.251570122201294, 18.728358570499733, 18.35281185329709, 17.986723187066627, 17.734132915403045, 17.55749511448193, 17.380673794778577]
,mse[73.55603790283203, 117.99053192138672, 160.5245361328125, 200.5775909423828, 224.74285888671875, 245.36880493164062, 267.9781799316406, 285.872314453125, 296.18780517578125, 307.85125732421875]
,mae,HSS20[0.6223478276113633, 0.5562226671632885, 0.4733304745532489, 0.4256521035165565, 0.39861989068206893, 0.3520877760364911, 0.3404083157981904, 0.3164312106565758, 0.3163799895454354, 0.2920205080358325]
,HSS35[0.3158279048833648, 0.16793587414626868, 0.03608432703034143, 0.006310731478178491, 0.0036856761596641805, 0.0, -1.5251976996129962e-05, -1.5252311582434303e-05, 0.0009412430166988284, -1.5252209729450665e-05]
HSS45[0.0, -4.069175991861647e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.5055063236685883, 0.44640153024627394, 0.3781118240146654, 0.3407112658542651, 0.32001259754347905, 0.2841294838145232, 0.2759338980697125, 0.26072684642438454, 0.2597354264641201, 0.24314839572192512]
,CSI35[0.18979057591623036, 0.09400544959128065, 0.020134228187919462, 0.0040858018386108275, 0.002079002079002079, 0.0, 0.0, 0.0, 0.0004784688995215311, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[675.2525634765625, 901.461669921875, 1083.527099609375, 1241.15966796875, 1340.1580810546875, 1421.647216796875, 1496.8682861328125, 1552.7073974609375, 1586.63818359375, 1618.5157470703125]
,lpips[37.469482421875, 46.362048387527466, 51.22493505477905, 55.27539253234863, 57.206177711486816, 58.706122636795044, 60.524654388427734, 61.151814460754395, 61.41967177391052, 62.25716471672058]
,ssim[0.6755309624241665, 0.5696820065378185, 0.4996104368998687, 0.4506636258433316, 0.41764686435946596, 0.3950208945883971, 0.3786420257511622, 0.36728145411610513, 0.3567406903497169, 0.35465167685970944]
2
,psnr[23.50710814698118, 21.190633326567923, 19.74677401177466, 18.721145381794948, 17.844806147529432, 17.411892587713233, 16.99862849085968, 16.526072072516456, 16.136656452764953, 15.677299336436507]
,mse[73.1858901977539, 124.82369995117188, 174.54794311523438, 221.513916015625, 274.8300476074219, 305.6627502441406, 337.5523681640625, 376.2477111816406, 409.5970458984375, 454.4987487792969]
,mae,HSS20[0.6873726231196066, 0.5886819187132734, 0.5382877096774799, 0.508383311694195, 0.4665345301431508, 0.4446924869910617, 0.4111356076172408, 0.40385244305088047, 0.3825321557281486, 0.3513190895514533]
,HSS35[0.5547549234069566, 0.42702663971300303, 0.31416633387132015, 0.24889613435238164, 0.1486633979976472, 0.08668298169711766, 0.0738969880268508, 0.07066758380068137, 0.05230319699699783, 0.033768448070095484]
HSS45[0.33568823029619305, 0.10741995947564585, 0.005903887764743277, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.6405972271596161, 0.5596434451825356, 0.5232258986636175, 0.5088568986609912, 0.48121614257781203, 0.4676298406536644, 0.44851193163010444, 0.44880018660524257, 0.4386912146159919, 0.42123985119613316]
,CSI35[0.40692518162090774, 0.29619217991311014, 0.20910829132626454, 0.1605275125056844, 0.0944254835039818, 0.056998836758433494, 0.04982238010657193, 0.04636011708054008, 0.03390146223339852, 0.021782774543264407]
,CSI45[0.20242914979757082, 0.057315233785822026, 0.003129890453834116, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[741.7763061523438, 1001.3493041992188, 1228.885009765625, 1415.13330078125, 1601.5404052734375, 1703.447998046875, 1806.3154296875, 1930.26806640625, 2025.69921875, 2149.2705078125]
,lpips[34.73670482635498, 42.15671122074127, 47.41982817649841, 49.972110986709595, 52.81747579574585, 55.411046743392944, 54.18548583984375, 56.10727667808533, 57.10130333900452, 58.70959758758545]
,ssim[0.6912815941318865, 0.580086409866381, 0.5069467126879172, 0.45288812053473415, 0.41203248436159906, 0.388727855146762, 0.37409632499878154, 0.3605045035375517, 0.35047197403279107, 0.33857142509793736]
3
,psnr[23.01005412771764, 20.61463361821197, 18.989185527207045, 17.907258210103436, 17.318856984555687, 16.693811122761595, 16.14432893626555, 15.734838813821593, 15.462316166461834, 15.215692187816785]
,mse[82.2589340209961, 143.35574340820312, 208.52362060546875, 267.2433166503906, 306.1472473144531, 352.320556640625, 400.0204162597656, 439.5090026855469, 467.6837158203125, 495.93646240234375]
,mae,HSS20[0.6361746703196579, 0.5417742778309237, 0.4657777805771434, 0.40476745984435614, 0.3584064353784756, 0.3028748956946839, 0.24375575753453746, 0.19180116165937663, 0.17303044466088224, 0.15453902476335205]
,HSS35[0.4584057315659144, 0.38234373354125506, 0.20527047044563204, 0.09431422423127624, 0.059188208228247156, 0.036501714425036615, 0.007664299374742701, 0.0029378917919003727, 0.0010707692045082559, -0.0016549714324341751]
HSS45[0.18231731497494527, 0.07214308166485389, 0.06794886545236957, -0.00010491518084515854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.5908292158524736, 0.5119066208619613, 0.4549541182152543, 0.4180295034571642, 0.3944641799881587, 0.3618007753777989, 0.33192961347571065, 0.3025614754098361, 0.2901376815821714, 0.28110665343744157]
,CSI35[0.3135552339604439, 0.25240641711229944, 0.1253409533705676, 0.057339747757118704, 0.03579418344519015, 0.022350881917328667, 0.006488240064882399, 0.002704791344667697, 0.0013041210224308817, 0.0]
,CSI45[0.1006711409395973, 0.03773584905660377, 0.03543307086614173, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[797.8876342773438, 1098.613037109375, 1362.2969970703125, 1570.7281494140625, 1711.069091796875, 1856.9150390625, 2007.984130859375, 2121.570068359375, 2209.400390625, 2298.490234375]
,lpips[33.77844989299774, 42.929649353027344, 49.533653259277344, 52.01621055603027, 55.05118370056152, 56.94631338119507, 59.50272083282471, 62.19155192375183, 63.875365257263184, 64.38819169998169]
,ssim[0.6860619205787698, 0.5742638454756234, 0.4864562997728081, 0.42424440866743723, 0.39601186980195435, 0.37141608201626886, 0.35101348476820515, 0.3391498673378342, 0.3352885555323984, 0.3286644725988498]
4
,psnr[24.1287509765084, 21.74224326672708, 20.321469654325497, 19.36820919240467, 18.791677130401713, 18.39053990552323, 17.90488540813221, 17.578834442688983, 17.08097180276147, 16.810982382208074]
,mse[64.28106689453125, 111.16827392578125, 155.0125732421875, 192.74130249023438, 220.34078979492188, 242.05599975585938, 269.7597351074219, 291.7569885253906, 328.3468017578125, 349.9481201171875]
,mae,HSS20[0.512089542464179, 0.40289705254245967, 0.3243451332478908, 0.2653544525881406, 0.24602680009932262, 0.18956505275217309, 0.15280526582813272, 0.12810072524521496, 0.10674704491333907, 0.1268898215665721]
,HSS35[0.4073076606096384, 0.3129457832540305, 0.2004933747660554, 0.11645562533061515, 0.08404436245408732, 0.059060114030379855, 0.027094711481443743, 0.012789724138576626, 0.005361796590384878, 0.0034089959503553697]
