0
,psnr[26.039222364758988, 24.06892462510133, 22.565141097810994, 21.748103408876187, 20.93861953735278, 20.397271075980747, 20.08043539663103, 19.794312452108045, 19.575358413502098, 19.231021277047684]
,mse[42.720394134521484, 66.8442611694336, 94.14276885986328, 113.92420959472656, 138.3854217529297, 155.9658966064453, 168.83311462402344, 181.05319213867188, 194.07296752929688, 210.44476318359375]
,mae,HSS20[0.5046110731267626, 0.39783283396716884, 0.332819657300379, 0.29422611488429457, 0.25759369563289125, 0.20254180881974654, 0.2081695270415435, 0.19781425959012888, 0.15077942790428336, 0.12831904237567304]
,HSS35[-2.9968609943144876e-05, 0.0, 0.0, -5.945336200835043e-05, -0.00019229771348861624, -0.0004333838019683727, -0.0006156131213539581, -0.000562901598428124, -0.00010390169028318901, -0.00028766912877424984]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.35456527004117216, 0.26656561281940233, 0.21940214326001128, 0.19307685409380324, 0.1708631646689727, 0.13643876784372652, 0.141354710597926, 0.13572509185217205, 0.10678649777085839, 0.0956060506843036]
,CSI35[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[429.09320068359375, 570.9425048828125, 707.1002807617188, 803.0068359375, 906.5006103515625, 987.5013427734375, 1049.0672607421875, 1097.14794921875, 1137.6541748046875, 1189.5400390625]
,lpips[31.07374608516693, 38.031792640686035, 40.973180532455444, 42.144957184791565, 44.35770511627197, 47.179293632507324, 48.29193949699402, 49.728068709373474, 51.20149254798889, 54.012495279312134]
,ssim[0.7656526826231945, 0.6763303932610883, 0.610774081426226, 0.568964526989594, 0.5292560206844588, 0.5013111697777131, 0.4732734662936111, 0.4635688303157808, 0.4600945070211807, 0.4535191444402993]
1
,psnr[23.25268662776568, 21.43884310012662, 19.986279760628314, 18.977346046954278, 18.54256875266726, 18.242545071766965, 17.964489990039873, 17.6267566916132, 17.34371918675697, 17.061353646619754]
,mse[78.84363555908203, 120.19148254394531, 167.392333984375, 212.81423950195312, 233.47828674316406, 250.53146362304688, 267.13629150390625, 289.3755798339844, 308.2341613769531, 328.0374450683594]
,mae,HSS20[0.5539900875381901, 0.47983178994615094, 0.3892404176267389, 0.3299578052296466, 0.3136153819613409, 0.28612982678203963, 0.27989381246648676, 0.2684875982648833, 0.26941621784814146, 0.2487361500846404]
,HSS35[0.22827593619507303, 0.22767279665337897, 0.13364456539670944, 0.014121442751086098, 0.0029107797081306033, 0.003978463232508805, 0.04521289829095449, 0.06835744738100862, 0.008249823582166109, 0.021169113103278656]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.4648652079864453e-05, 0.0, 0.0]
,CSI20[0.4351664763243433, 0.3709335818366655, 0.30255387383159293, 0.25998789346246975, 0.24996324069989706, 0.23129301508273542, 0.2281213956170704, 0.22227623081730433, 0.22131696822205765, 0.20625375826819]
,CSI35[0.1304640215198386, 0.13023610053313026, 0.07361197754210856, 0.008445106805762546, 0.0020294266869609334, 0.0023730422401518746, 0.024754588134869828, 0.03843255463451394, 0.008032128514056226, 0.014306151645207436]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[692.0074462890625, 887.3419799804688, 1085.6573486328125, 1244.8441162109375, 1322.18310546875, 1385.8856201171875, 1438.6580810546875, 1486.28076171875, 1517.26220703125, 1575.9759521484375]
,lpips[33.517125248909, 40.653085708618164, 43.88860762119293, 46.329882740974426, 47.523945569992065, 49.58278834819794, 52.1449089050293, 53.542959690093994, 54.38429117202759, 56.11504316329956]
,ssim[0.6667754777183379, 0.567574346153027, 0.49482253853183034, 0.44727100450715307, 0.4213466972015593, 0.4071948677007372, 0.39284753781946047, 0.3875348706738006, 0.38810682783096945, 0.37388374114049217]
2
,psnr[23.25546377519474, 21.012018312128465, 19.57497490627106, 18.519623488922893, 17.76759746579825, 17.329288973469303, 16.812672345034972, 16.451438834269773, 16.11615807197247, 15.842088548010397]
,mse[77.54046630859375, 130.10931396484375, 181.12686157226562, 231.62237548828125, 277.5697326660156, 308.1473693847656, 348.8206481933594, 380.9972839355469, 413.14544677734375, 444.658203125]
,mae,HSS20[0.6524438135371727, 0.5482645648470966, 0.5097747166020615, 0.4638033893251468, 0.4318954325434764, 0.39349422754315144, 0.36146197743357633, 0.3264904809788521, 0.2928812340827853, 0.2687910824679111]
,HSS35[0.5377855063866378, 0.3920755111657855, 0.31844258472244263, 0.27112245900604215, 0.24581018277730154, 0.18380349884362143, 0.16348700171808184, 0.1089114669615859, 0.09122892516467901, 0.08998132801268185]
