0
,psnr[26.040032659764144, 24.03137681075107, 22.56091690677319, 21.720018437876934, 20.874526271886566, 20.334929402410303, 20.02004852843603, 19.768835195089054, 19.540848277852973, 19.15267864631851]
,mse[42.674312591552734, 67.25951385498047, 93.92733764648438, 113.91290283203125, 139.4406280517578, 156.8257293701172, 169.26846313476562, 180.22706604003906, 194.9436492919922, 213.427734375]
,mae,HSS20[0.5239990816506664, 0.42412013411635885, 0.3381960064684924, 0.29799476902565664, 0.25918585513247633, 0.1965176186353175, 0.20787008745549376, 0.2107164055175978, 0.17338809338685968, 0.15280636927771152]
,HSS35[-0.00010037607481661634, 0.0, 0.0, -1.5157967239792779e-05, -0.00029686643038912447, -0.00038696989881688716, -0.0006279872525488691, -0.0004879057672916566, -0.0004208291397165284, -0.0003676428300178166]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.37291765825797235, 0.28858418367346944, 0.22371740958788905, 0.19592238218724847, 0.17223156377612295, 0.1322875028282676, 0.14169036680522132, 0.14497797982667993, 0.12291880781089415, 0.11230356458413183]
,CSI35[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[431.5313415527344, 576.4349365234375, 707.97998046875, 803.9452514648438, 909.7489013671875, 990.1470336914062, 1049.49609375, 1093.5750732421875, 1136.0845947265625, 1193.9442138671875]
,lpips[30.91052770614624, 38.45476806163788, 41.887420415878296, 43.516939878463745, 46.032798290252686, 48.020780086517334, 50.16474723815918, 51.20491981506348, 52.02907919883728, 54.71394658088684]
,ssim[0.7646929059933648, 0.6743375873905801, 0.6117661042550875, 0.5693679283841188, 0.5300891805774736, 0.5017205080410961, 0.47480444086754364, 0.4643020165239801, 0.458408437380656, 0.4504003468703157]
1
,psnr[23.278682820442267, 21.421877904765893, 19.967923958626592, 18.97909423295608, 18.571998434532574, 18.283580135331135, 18.0060760172196, 17.66264130408501, 17.381224012742205, 17.06815109230604]
,mse[78.28675079345703, 120.82203674316406, 168.6394500732422, 213.79425048828125, 233.0331573486328, 249.34886169433594, 265.6640625, 287.5959167480469, 306.3099365234375, 327.89764404296875]
,mae,HSS20[0.5698724732178461, 0.488605356782842, 0.3987041135479449, 0.331382083224673, 0.3151093743622892, 0.2929451112105284, 0.29050958887863293, 0.28291826162942263, 0.29368900477353416, 0.2718331645106225]
,HSS35[0.2432972126977831, 0.2284512213258467, 0.11985065969231282, 0.01262346072784257, 0.0029107797081306033, 0.0027719926199153396, 0.046583170954327284, 0.060549621395893, 0.01133717629327697, 0.019672929257963784]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.451531500174034, 0.38015770370061336, 0.3113094548124106, 0.2618922569027611, 0.25187832810562405, 0.23685550141807868, 0.2362932702644593, 0.23298284449363588, 0.24002230820174983, 0.22517013852903586]
,CSI35[0.14029255319148937, 0.13082706766917293, 0.06566604127579738, 0.0075339025615268704, 0.0020294266869609334, 0.0018832391713747647, 0.025206431986093007, 0.033885252214093185, 0.009115077857956703, 0.013561741613133477]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[689.2866821289062, 892.2611083984375, 1091.2178955078125, 1248.5205078125, 1322.00927734375, 1380.075439453125, 1431.29931640625, 1483.767822265625, 1519.673583984375, 1584.1072998046875]
,lpips[33.555036783218384, 41.10150933265686, 44.69677805900574, 47.159069776535034, 48.30860197544098, 50.621724128723145, 53.05997133255005, 54.20498251914978, 54.8781156539917, 56.95222616195679]
,ssim[0.6676831035998378, 0.5666844004449152, 0.4952650554288166, 0.44906988006251625, 0.4259647146171785, 0.4129894118331591, 0.3967461953335223, 0.38653283788586157, 0.3825032513810492, 0.36694465737759596]
2
