0
,psnr[26.144107982866046, 24.228283193228698, 22.813824746877383, 22.08781322430996, 21.304109031590567, 20.727123744276607, 20.379056316291518, 20.05736168517738, 19.852475793516668, 19.45577215869468]
,mse[41.667274475097656, 64.3985595703125, 88.52340698242188, 105.04685974121094, 127.13043212890625, 144.15737915039062, 156.6884002685547, 169.94573974609375, 182.4781036376953, 199.695556640625]
,mae,HSS20[0.509496646975265, 0.36558718120840256, 0.30115086695660936, 0.2834950369170653, 0.22793141014092397, 0.16887881981698905, 0.16773568176964776, 0.1572670848551538, 0.11952740494250559, 0.09479589162938398]
,HSS35[-1.5120301418353633e-05, 0.0, 0.0, 0.0, -0.00012819025876119374, -0.00014104809370032968, 0.0, 0.0, 0.0, 0.0]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.35888713400558864, 0.24026622296173047, 0.19448490144674244, 0.18344186046511626, 0.14724919093851133, 0.11025269596008369, 0.11146695828776754, 0.10795327728591621, 0.08815039076251496, 0.07566930680107352]
,CSI35[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[433.75836181640625, 578.0546875, 709.4368286132812, 796.519287109375, 897.2384033203125, 976.3385009765625, 1036.8294677734375, 1082.0906982421875, 1119.989990234375, 1172.57275390625]
,lpips[30.958083271980286, 39.068037271499634, 41.933584213256836, 43.18122863769531, 45.400768518447876, 47.740718722343445, 48.28754663467407, 50.05643367767334, 51.51296854019165, 52.12200880050659]
,ssim[0.7618216644460825, 0.6671349624932306, 0.5977848750718534, 0.5550211845282506, 0.5167783624683386, 0.49137482670056043, 0.46302694516718534, 0.4557535098486958, 0.45228249414554317, 0.4465603431753481]
1
,psnr[23.339501516342764, 21.546526842729584, 20.08977050726037, 19.11721319758812, 18.685092574753302, 18.381575645424405, 18.130473568550954, 17.814524354610406, 17.570639647126853, 17.30887971099398]
,mse[77.21611785888672, 117.37297058105469, 164.0672607421875, 207.31092834472656, 227.7154998779297, 244.46360778808594, 258.7793273925781, 278.45172119140625, 294.1308898925781, 310.2856750488281]
,mae,HSS20[0.5593212643624117, 0.4661422627178836, 0.3810805944403205, 0.3291562166215936, 0.3118624287019069, 0.29188387503653496, 0.283736879008266, 0.2749574754438022, 0.26594914705619815, 0.24439683360177675]
,HSS35[0.1835561378086925, 0.09475107778782352, 0.044010212632263526, 0.0030555143082748554, -0.00012157245933266653, 0.0016680796920304187, 0.0005823718019540562, 0.01627591087387406, 0.0012399970682590979, -0.0003923283187546078]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.4404265590029403, 0.3582363225448808, 0.29497825227362595, 0.25777555649532896, 0.2467717183815548, 0.2318576685254732, 0.22802920790244263, 0.223301666965406, 0.2154668023403714, 0.1997010681345923]
,CSI35[0.10237288135593217, 0.050561797752808994, 0.023427041499330656, 0.0020942408376963353, 0.0, 0.0009633911368015414, 0.00045745654162854526, 0.009205020920502092, 0.00136986301369863, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[694.0233154296875, 896.3573608398438, 1099.66943359375, 1259.994873046875, 1337.6451416015625, 1394.8197021484375, 1439.677978515625, 1489.0640869140625, 1520.6829833984375, 1572.740478515625]
,lpips[33.96540284156799, 40.897658467292786, 44.31089162826538, 46.85591459274292, 48.46121668815613, 50.427091121673584, 52.92214751243591, 53.10436487197876, 53.933799266815186, 55.34418821334839]
