0
,psnr[26.11218907604894, 24.222023915190686, 22.883812995605176, 22.15482889743169, 21.365656071485184, 20.776514995253237, 20.468915127771304, 20.180584643728693, 19.91583849454873, 19.48936220488621]
,mse[42.01312255859375, 64.45365142822266, 87.3574447631836, 103.97428894042969, 126.09799194335938, 143.66012573242188, 155.61322021484375, 169.2191925048828, 183.97332763671875, 200.4000244140625]
,mae,HSS20[0.517351985991375, 0.3919393783984745, 0.33959362947764177, 0.32562454479581854, 0.28297596741064496, 0.24085229940726746, 0.2351783432295633, 0.195783170152775, 0.1414898058550829, 0.10517845785907773]
,HSS35[0.017142733857507808, 0.0, 0.0, -3.0116938047049086e-05, -0.00029686643038912447, -0.0004936723854676387, -0.0005699861574790326, -0.0004879057672916566, -0.000708239788345436, -0.0004826550557305282]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.36625166203311976, 0.26104240282685515, 0.22316438620158024, 0.2146980665261615, 0.1870254209310003, 0.16020353095366588, 0.15806040620550102, 0.13572234762979685, 0.10364526659412407, 0.08300624155459752]
,CSI35[0.008695652173913044, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[432.6887512207031, 576.7184448242188, 700.5997924804688, 791.7966918945312, 897.3956298828125, 979.5789794921875, 1036.47265625, 1082.84130859375, 1129.3431396484375, 1188.1337890625]
,lpips[31.087327003479004, 39.187562465667725, 42.61913597583771, 44.25995945930481, 46.914082765579224, 49.681782722473145, 50.76313018798828, 51.94308161735535, 53.95704507827759, 54.44000959396362]
,ssim[0.761919405010786, 0.6683206886922693, 0.6050166102053454, 0.5593023179038317, 0.5177396012996376, 0.49186050898242917, 0.46639308816645436, 0.4598195812111858, 0.4535353890299636, 0.4422676282703815]
1
