0
,psnr[26.14402099103311, 24.187301144520802, 22.713299774833686, 21.916401083621555, 21.18907266074667, 20.57416720947982, 20.184783200208003, 19.95229391451883, 19.759487652245834, 19.348036923436183]
,mse[41.404296875, 64.67529296875, 90.33894348144531, 109.23591613769531, 130.99041748046875, 149.55882263183594, 164.9789581298828, 178.26531982421875, 190.84716796875, 207.11273193359375]
,mae,HSS20[0.509069724395733, 0.39575004669503727, 0.34381284593635364, 0.3160749689152953, 0.2510088631394168, 0.21210478916789466, 0.194711056517126, 0.1484443706964866, 0.09641415795896559, 0.08155988144934721]
,HSS35[0.0, 0.009524688447465707, 0.0, 0.0, 0.0, 0.0, 0.0, -5.954090591301112e-05, 0.0, 0.0]
HSS45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI20[0.3583709303743446, 0.26426294382763554, 0.22840477733543188, 0.20944867931217864, 0.16669332906734918, 0.14288923837339926, 0.13460168163032635, 0.10831011755113137, 0.078803452592739, 0.07149975087194817]
,CSI35[0.0, 0.004807692307692308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
,CSI45[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[444.1422119140625, 594.3421020507812, 726.1640625, 827.1185302734375, 933.838623046875, 1027.3482666015625, 1104.0240478515625, 1158.216552734375, 1215.012939453125, 1275.04248046875]
,lpips[32.30928182601929, 40.21099507808685, 43.57927441596985, 45.315712690353394, 47.68810272216797, 49.853354692459106, 49.944689869880676, 51.87108516693115, 53.649044036865234, 53.58978509902954]
,ssim[0.7524472420720446, 0.6530363792299042, 0.5901320149611603, 0.545351324246034, 0.50466448972351, 0.4740003250863073, 0.44469101459793425, 0.42808177488253035, 0.4097073308143022, 0.39973096690099197]
1
,psnr[23.444103181190926, 21.512906594969376, 20.108187386978184, 19.22497008231615, 18.773474824845774, 18.454383191786455, 18.196728964632378, 17.93656194500998, 17.762324323323732, 17.603276895876487]
